y,ds
29,2018-01-01
26,2018-01-02
27,2018-01-03
23,2018-01-04
26,2018-01-05
25,2018-01-06
25,2018-01-07
27,2018-01-08
27,2018-01-09
27,2018-01-10
29,2018-01-11
27,2018-01-12
28,2018-01-13
33,2018-01-14
22,2018-01-15
22,2018-01-16
22,2018-01-17
23,2018-01-18
23,2018-01-19
23,2018-01-20
25,2018-01-21
27,2018-01-22
26,2018-01-23
25,2018-01-24
29,2018-01-25
29,2018-01-26
30,2018-01-27
28,2018-01-28
27,2018-01-29
27,2018-01-30
28,2018-01-31
22,2018-02-01
52,2018-02-02
50,2018-02-03
22,2018-02-04
22,2018-02-05
22,2018-02-06
22,2018-02-07
22,2018-02-08
23,2018-02-09
25,2018-02-10
23,2018-02-11
26,2018-02-12
23,2018-02-13
27,2018-02-14
30,2018-02-15
30,2018-02-16
29,2018-02-17
29,2018-02-18
26,2018-02-19
27,2018-02-20
25,2018-02-21
51,2018-02-22
36,2018-02-23
23,2018-02-24
27,2018-02-25
25,2018-02-26
25,2018-02-27
23,2018-02-28
27,2018-03-01
27,2018-03-02
27,2018-03-03
30,2018-03-04
47,2018-03-05
20,2018-03-06
20,2018-03-07
22,2018-03-08
22,2018-03-09
21,2018-03-10
20,2018-03-11
22,2018-03-12
22,2018-03-13
23,2018-03-14
23,2018-03-15
23,2018-03-16
25,2018-03-17
25,2018-03-18
26,2018-03-19
26,2018-03-20
50,2018-03-21
21,2018-03-22
23,2018-03-23
25,2018-03-24
22,2018-03-25
25,2018-03-26
49,2018-03-27
27,2018-03-28
23,2018-03-29
25,2018-03-30
25,2018-03-31
23,2018-04-01
25,2018-04-02
23,2018-04-03
21,2018-04-04
22,2018-04-05
22,2018-04-06
22,2018-04-07
22,2018-04-08
22,2018-04-09
22,2018-04-10
22,2018-04-11
23,2018-04-12
22,2018-04-13
22,2018-04-14
23,2018-04-15
22,2018-04-16
22,2018-04-17
52,2018-04-18
21,2018-04-19
21,2018-04-20
21,2018-04-21
21,2018-04-22
21,2018-04-23
21,2018-04-24
21,2018-04-25
22,2018-04-26
22,2018-04-27
51,2018-04-28
51,2018-04-29
51,2018-04-30
53,2018-05-01
21,2018-05-02
53,2018-05-03
21,2018-05-04
21,2018-05-05
53,2018-05-06
51,2018-05-07
52,2018-05-08
22,2018-05-09
51,2018-05-10
50,2018-05-11
49,2018-05-12
47,2018-05-13
49,2018-05-14
49,2018-05-15
49,2018-05-16
49,2018-05-17
50,2018-05-18
49,2018-05-19
50,2018-05-20
47,2018-05-21
47,2018-05-22
49,2018-05-23
50,2018-05-24
50,2018-05-25
50,2018-05-26
50,2018-05-27
47,2018-05-28
50,2018-05-29
50,2018-05-30
45,2018-05-31
45,2018-06-01
45,2018-06-02
49,2018-06-03
47,2018-06-04
47,2018-06-05
47,2018-06-06
47,2018-06-07
48,2018-06-08
50,2018-06-09
49,2018-06-10
47,2018-06-11
45,2018-06-12
49,2018-06-13
50,2018-06-14
49,2018-06-15
45,2018-06-16
45,2018-06-17
43,2018-06-18
43,2018-06-19
43,2018-06-20
45,2018-06-21
47,2018-06-22
45,2018-06-23
45,2018-06-24
47,2018-06-25
49,2018-06-26
47,2018-06-27
49,2018-06-28
43,2018-06-29
47,2018-06-30
50,2018-07-01
50,2018-07-02
49,2018-07-03
50,2018-07-04
49,2018-07-05
52,2018-07-06
57,2018-07-07
49,2018-07-08
46,2018-07-09
49,2018-07-10
45,2018-07-11
49,2018-07-12
45,2018-07-13
42,2018-07-14
42,2018-07-15
45,2018-07-16
43,2018-07-17
43,2018-07-18
42,2018-07-19
47,2018-07-20
42,2018-07-21
43,2018-07-22
45,2018-07-23
45,2018-07-24
46,2018-07-25
51,2018-07-26
47,2018-07-27
49,2018-07-28
48,2018-07-29
50,2018-07-30
45,2018-07-31
50,2018-08-01
45,2018-08-02
47,2018-08-03
49,2018-08-04
47,2018-08-05
50,2018-08-06
49,2018-08-07
43,2018-08-08
43,2018-08-09
45,2018-08-10
49,2018-08-11
50,2018-08-12
43,2018-08-13
43,2018-08-14
45,2018-08-15
49,2018-08-16
49,2018-08-17
47,2018-08-18
47,2018-08-19
46,2018-08-20
43,2018-08-21
47,2018-08-22
45,2018-08-23
47,2018-08-24
49,2018-08-25
46,2018-08-26
49,2018-08-27
47,2018-08-28
47,2018-08-29
45,2018-08-30
47,2018-08-31
53,2018-09-01
49,2018-09-02
47,2018-09-03
46,2018-09-04
47,2018-09-05
47,2018-09-06
50,2018-09-07
52,2018-09-08
50,2018-09-09
49,2018-09-10
49,2018-09-11
50,2018-09-12
50,2018-09-13
51,2018-09-14
50,2018-09-15
51,2018-09-16
47,2018-09-17
49,2018-09-18
49,2018-09-19
53,2018-09-20
49,2018-09-21
49,2018-09-22
50,2018-09-23
50,2018-09-24
46,2018-09-25
50,2018-09-26
49,2018-09-27
21,2018-09-28
52,2018-09-29
47,2018-09-30
49,2018-10-01
50,2018-10-02
49,2018-10-03
50,2018-10-04
52,2018-10-05
50,2018-10-06
51,2018-10-07
52,2018-10-08
53,2018-10-09
52,2018-10-10
52,2018-10-11
49,2018-10-12
46,2018-10-13
46,2018-10-14
50,2018-10-15
21,2018-10-16
21,2018-10-17
21,2018-10-18
22,2018-10-19
21,2018-10-20
52,2018-10-21
53,2018-10-22
22,2018-10-23
23,2018-10-24
22,2018-10-25
23,2018-10-26
22,2018-10-27
23,2018-10-28
50,2018-10-29
51,2018-10-30
53,2018-10-31
53,2018-11-01
22,2018-11-02
21,2018-11-03
23,2018-11-04
23,2018-11-05
27,2018-11-06
26,2018-11-07
21,2018-11-08
51,2018-11-09
51,2018-11-10
21,2018-11-11
21,2018-11-12
21,2018-11-13
21,2018-11-14
23,2018-11-15
23,2018-11-16
22,2018-11-17
21,2018-11-18
21,2018-11-19
21,2018-11-20
25,2018-11-21
26,2018-11-22
25,2018-11-23
23,2018-11-24
25,2018-11-25
25,2018-11-26
22,2018-11-27
30,2018-11-28
27,2018-11-29
23,2018-11-30
25,2018-12-01
27,2018-12-02
27,2018-12-03
23,2018-12-04
23,2018-12-05
22,2018-12-06
21,2018-12-07
23,2018-12-08
25,2018-12-09
23,2018-12-10
23,2018-12-11
25,2018-12-12
25,2018-12-13
27,2018-12-14
25,2018-12-15
21,2018-12-16
24,2018-12-17
24,2018-12-18
27,2018-12-19
29,2018-12-20
28,2018-12-21
30,2018-12-22
23,2018-12-23
22,2018-12-24
21,2018-12-25
21,2018-12-26
23,2018-12-27
25,2018-12-28
25,2018-12-29
29,2018-12-30
27,2018-12-31
33,2019-01-01
28,2019-01-02
29,2019-01-03
25,2019-01-04
29,2019-01-05
30,2019-01-06
29,2019-01-07
31,2019-01-08
30,2019-01-09
30,2019-01-10
35,2019-01-11
32,2019-01-12
32,2019-01-13
36,2019-01-14
24,2019-01-15
23,2019-01-16
23,2019-01-17
26,2019-01-18
26,2019-01-19
26,2019-01-20
26,2019-01-21
32,2019-01-22
29,2019-01-23
27,2019-01-24
30,2019-01-25
34,2019-01-26
34,2019-01-27
32,2019-01-28
32,2019-01-29
30,2019-01-30
31,2019-01-31
22,2019-02-01
59,2019-02-02
56,2019-02-03
26,2019-02-04
24,2019-02-05
25,2019-02-06
24,2019-02-07
22,2019-02-08
28,2019-02-09
26,2019-02-10
27,2019-02-11
29,2019-02-12
28,2019-02-13
28,2019-02-14
30,2019-02-15
32,2019-02-16
33,2019-02-17
31,2019-02-18
27,2019-02-19
30,2019-02-20
27,2019-02-21
51,2019-02-22
38,2019-02-23
24,2019-02-24
31,2019-02-25
30,2019-02-26
28,2019-02-27
23,2019-02-28
30,2019-03-01
30,2019-03-02
32,2019-03-03
30,2019-03-04
51,2019-03-05
24,2019-03-06
21,2019-03-07
25,2019-03-08
22,2019-03-09
24,2019-03-10
22,2019-03-11
24,2019-03-12
24,2019-03-13
25,2019-03-14
25,2019-03-15
24,2019-03-16
25,2019-03-17
27,2019-03-18
29,2019-03-19
30,2019-03-20
55,2019-03-21
26,2019-03-22
27,2019-03-23
29,2019-03-24
24,2019-03-25
30,2019-03-26
53,2019-03-27
32,2019-03-28
24,2019-03-29
26,2019-03-30
29,2019-03-31
24,2019-04-01
25,2019-04-02
28,2019-04-03
23,2019-04-04
26,2019-04-05
22,2019-04-06
22,2019-04-07
25,2019-04-08
23,2019-04-09
26,2019-04-10
23,2019-04-11
25,2019-04-12
26,2019-04-13
25,2019-04-14
27,2019-04-15
27,2019-04-16
24,2019-04-17
61,2019-04-18
22,2019-04-19
25,2019-04-20
22,2019-04-21
24,2019-04-22
24,2019-04-23
21,2019-04-24
21,2019-04-25
23,2019-04-26
22,2019-04-27
61,2019-04-28
60,2019-04-29
56,2019-04-30
59,2019-05-01
23,2019-05-02
60,2019-05-03
22,2019-05-04
21,2019-05-05
59,2019-05-06
54,2019-05-07
62,2019-05-08
26,2019-05-09
57,2019-05-10
58,2019-05-11
54,2019-05-12
48,2019-05-13
53,2019-05-14
51,2019-05-15
57,2019-05-16
50,2019-05-17
58,2019-05-18
57,2019-05-19
58,2019-05-20
54,2019-05-21
49,2019-05-22
49,2019-05-23
56,2019-05-24
55,2019-05-25
55,2019-05-26
54,2019-05-27
49,2019-05-28
52,2019-05-29
51,2019-05-30
53,2019-05-31
45,2019-06-01
49,2019-06-02
53,2019-06-03
50,2019-06-04
51,2019-06-05
54,2019-06-06
51,2019-06-07
57,2019-06-08
50,2019-06-09
57,2019-06-10
53,2019-06-11
49,2019-06-12
49,2019-06-13
53,2019-06-14
55,2019-06-15
46,2019-06-16
54,2019-06-17
51,2019-06-18
49,2019-06-19
47,2019-06-20
51,2019-06-21
48,2019-06-22
52,2019-06-23
45,2019-06-24
56,2019-06-25
52,2019-06-26
53,2019-06-27
55,2019-06-28
44,2019-06-29
52,2019-06-30
50,2019-07-01
50,2019-07-02
55,2019-07-03
56,2019-07-04
50,2019-07-05
58,2019-07-06
68,2019-07-07
57,2019-07-08
52,2019-07-09
56,2019-07-10
47,2019-07-11
57,2019-07-12
49,2019-07-13
42,2019-07-14
49,2019-07-15
50,2019-07-16
51,2019-07-17
44,2019-07-18
48,2019-07-19
55,2019-07-20
45,2019-07-21
52,2019-07-22
47,2019-07-23
49,2019-07-24
55,2019-07-25
60,2019-07-26
55,2019-07-27
54,2019-07-28
54,2019-07-29
58,2019-07-30
54,2019-07-31
60,2019-08-01
47,2019-08-02
52,2019-08-03
58,2019-08-04
52,2019-08-05
56,2019-08-06
53,2019-08-07
46,2019-08-08
47,2019-08-09
50,2019-08-10
50,2019-08-11
51,2019-08-12
50,2019-08-13
46,2019-08-14
51,2019-08-15
49,2019-08-16
49,2019-08-17
50,2019-08-18
50,2019-08-19
47,2019-08-20
46,2019-08-21
54,2019-08-22
48,2019-08-23
57,2019-08-24
56,2019-08-25
54,2019-08-26
58,2019-08-27
49,2019-08-28
56,2019-08-29
46,2019-08-30
53,2019-08-31
60,2019-09-01
56,2019-09-02
48,2019-09-03
54,2019-09-04
55,2019-09-05
50,2019-09-06
58,2019-09-07
62,2019-09-08
52,2019-09-09
49,2019-09-10
57,2019-09-11
52,2019-09-12
51,2019-09-13
55,2019-09-14
53,2019-09-15
58,2019-09-16
50,2019-09-17
57,2019-09-18
52,2019-09-19
60,2019-09-20
57,2019-09-21
53,2019-09-22
51,2019-09-23
50,2019-09-24
53,2019-09-25
55,2019-09-26
55,2019-09-27
23,2019-09-28
60,2019-09-29
48,2019-09-30
50,2019-10-01
54,2019-10-02
56,2019-10-03
53,2019-10-04
58,2019-10-05
52,2019-10-06
59,2019-10-07
53,2019-10-08
62,2019-10-09
58,2019-10-10
58,2019-10-11
49,2019-10-12
48,2019-10-13
53,2019-10-14
51,2019-10-15
24,2019-10-16
23,2019-10-17
22,2019-10-18
23,2019-10-19
25,2019-10-20
56,2019-10-21
57,2019-10-22
23,2019-10-23
27,2019-10-24
26,2019-10-25
28,2019-10-26
23,2019-10-27
26,2019-10-28
51,2019-10-29
53,2019-10-30
63,2019-10-31
61,2019-11-01
25,2019-11-02
25,2019-11-03
27,2019-11-04
23,2019-11-05
31,2019-11-06
31,2019-11-07
25,2019-11-08
62,2019-11-09
58,2019-11-10
24,2019-11-11
22,2019-11-12
24,2019-11-13
25,2019-11-14
28,2019-11-15
25,2019-11-16
22,2019-11-17
22,2019-11-18
23,2019-11-19
24,2019-11-20
28,2019-11-21
26,2019-11-22
25,2019-11-23
25,2019-11-24
27,2019-11-25
25,2019-11-26
25,2019-11-27
32,2019-11-28
30,2019-11-29
28,2019-11-30
27,2019-12-01
28,2019-12-02
33,2019-12-03
25,2019-12-04
23,2019-12-05
25,2019-12-06
24,2019-12-07
27,2019-12-08
25,2019-12-09
28,2019-12-10
25,2019-12-11
27,2019-12-12
27,2019-12-13
31,2019-12-14
25,2019-12-15
23,2019-12-16
28,2019-12-17
25,2019-12-18
33,2019-12-19
31,2019-12-20
28,2019-12-21
35,2019-12-22
26,2019-12-23
24,2019-12-24
21,2019-12-25
24,2019-12-26
24,2019-12-27
28,2019-12-28
27,2019-12-29
29,2019-12-30
29,2019-12-31
35,2020-01-01
32,2020-01-02
31,2020-01-03
27,2020-01-04
34,2020-01-05
32,2020-01-06
30,2020-01-07
31,2020-01-08
36,2020-01-09
36,2020-01-10
38,2020-01-11
34,2020-01-12
33,2020-01-13
36,2020-01-14
28,2020-01-15
28,2020-01-16
28,2020-01-17
28,2020-01-18
28,2020-01-19
28,2020-01-20
27,2020-01-21
35,2020-01-22
32,2020-01-23
32,2020-01-24
31,2020-01-25
38,2020-01-26
39,2020-01-27
38,2020-01-28
35,2020-01-29
30,2020-01-30
31,2020-01-31
24,2020-02-01
68,2020-02-02
59,2020-02-03
30,2020-02-04
27,2020-02-05
29,2020-02-06
25,2020-02-07
24,2020-02-08
29,2020-02-09
30,2020-02-10
27,2020-02-11
29,2020-02-12
31,2020-02-13
29,2020-02-14
36,2020-02-15
37,2020-02-16
34,2020-02-17
31,2020-02-18
32,2020-02-19
30,2020-02-20
27,2020-02-21
54,2020-02-22
42,2020-02-23
25,2020-02-24
35,2020-02-25
35,2020-02-26
29,2020-02-27
26,2020-02-28
36,2020-03-01
33,2020-03-02
36,2020-03-03
32,2020-03-04
54,2020-03-05
28,2020-03-06
21,2020-03-07
28,2020-03-08
24,2020-03-09
26,2020-03-10
25,2020-03-11
29,2020-03-12
26,2020-03-13
28,2020-03-14
25,2020-03-15
24,2020-03-16
26,2020-03-17
31,2020-03-18
30,2020-03-19
30,2020-03-20
60,2020-03-21
31,2020-03-22
27,2020-03-23
34,2020-03-24
27,2020-03-25
35,2020-03-26
56,2020-03-27
33,2020-03-28
25,2020-03-29
31,2020-03-30
32,2020-03-31
26,2020-04-01
30,2020-04-02
33,2020-04-03
24,2020-04-04
31,2020-04-05
24,2020-04-06
24,2020-04-07
29,2020-04-08
25,2020-04-09
27,2020-04-10
23,2020-04-11
28,2020-04-12
30,2020-04-13
29,2020-04-14
28,2020-04-15
32,2020-04-16
25,2020-04-17
67,2020-04-18
24,2020-04-19
26,2020-04-20
23,2020-04-21
27,2020-04-22
25,2020-04-23
22,2020-04-24
24,2020-04-25
26,2020-04-26
25,2020-04-27
73,2020-04-28
66,2020-04-29
64,2020-04-30
65,2020-05-01
24,2020-05-02
62,2020-05-03
25,2020-05-04
21,2020-05-05
70,2020-05-06
59,2020-05-07
70,2020-05-08
26,2020-05-09
61,2020-05-10
66,2020-05-11
62,2020-05-12
58,2020-05-13
61,2020-05-14
57,2020-05-15
59,2020-05-16
53,2020-05-17
65,2020-05-18
58,2020-05-19
60,2020-05-20
63,2020-05-21
51,2020-05-22
54,2020-05-23
56,2020-05-24
58,2020-05-25
56,2020-05-26
63,2020-05-27
59,2020-05-28
52,2020-05-29
60,2020-05-30
54,2020-05-31
48,2020-06-01
51,2020-06-02
56,2020-06-03
57,2020-06-04
56,2020-06-05
62,2020-06-06
56,2020-06-07
57,2020-06-08
57,2020-06-09
62,2020-06-10
59,2020-06-11
57,2020-06-12
51,2020-06-13
56,2020-06-14
60,2020-06-15
54,2020-06-16
64,2020-06-17
55,2020-06-18
53,2020-06-19
51,2020-06-20
54,2020-06-21
57,2020-06-22
60,2020-06-23
49,2020-06-24
57,2020-06-25
59,2020-06-26
54,2020-06-27
56,2020-06-28
48,2020-06-29
53,2020-06-30
53,2020-07-01
57,2020-07-02
62,2020-07-03
61,2020-07-04
53,2020-07-05
61,2020-07-06
81,2020-07-07
62,2020-07-08
61,2020-07-09
62,2020-07-10
52,2020-07-11
60,2020-07-12
50,2020-07-13
42,2020-07-14
52,2020-07-15
60,2020-07-16
60,2020-07-17
44,2020-07-18
54,2020-07-19
65,2020-07-20
46,2020-07-21
61,2020-07-22
54,2020-07-23
59,2020-07-24
58,2020-07-25
68,2020-07-26
62,2020-07-27
57,2020-07-28
57,2020-07-29
63,2020-07-30
62,2020-07-31
63,2020-08-01
55,2020-08-02
63,2020-08-03
60,2020-08-04
56,2020-08-05
59,2020-08-06
61,2020-08-07
54,2020-08-08
53,2020-08-09
59,2020-08-10
56,2020-08-11
59,2020-08-12
51,2020-08-13
49,2020-08-14
52,2020-08-15
58,2020-08-16
56,2020-08-17
50,2020-08-18
54,2020-08-19
55,2020-08-20
54,2020-08-21
56,2020-08-22
53,2020-08-23
64,2020-08-24
63,2020-08-25
65,2020-08-26
61,2020-08-27
50,2020-08-28
64,2020-08-29
55,2020-08-30
54,2020-08-31
66,2020-09-01
58,2020-09-02
55,2020-09-03
65,2020-09-04
64,2020-09-05
50,2020-09-06
62,2020-09-07
63,2020-09-08
62,2020-09-09
57,2020-09-10
62,2020-09-11
54,2020-09-12
51,2020-09-13
55,2020-09-14
63,2020-09-15
62,2020-09-16
52,2020-09-17
62,2020-09-18
60,2020-09-19
61,2020-09-20
66,2020-09-21
56,2020-09-22
60,2020-09-23
57,2020-09-24
63,2020-09-25
64,2020-09-26
57,2020-09-27
27,2020-09-28
61,2020-09-29
54,2020-09-30
51,2020-10-01
55,2020-10-02
64,2020-10-03
54,2020-10-04
62,2020-10-05
58,2020-10-06
70,2020-10-07
55,2020-10-08
67,2020-10-09
62,2020-10-10
64,2020-10-11
56,2020-10-12
55,2020-10-13
62,2020-10-14
61,2020-10-15
24,2020-10-16
25,2020-10-17
25,2020-10-18
26,2020-10-19
28,2020-10-20
59,2020-10-21
63,2020-10-22
24,2020-10-23
31,2020-10-24
28,2020-10-25
31,2020-10-26
25,2020-10-27
27,2020-10-28
59,2020-10-29
61,2020-10-30
74,2020-10-31
68,2020-11-01
27,2020-11-02
27,2020-11-03
31,2020-11-04
24,2020-11-05
35,2020-11-06
36,2020-11-07
28,2020-11-08
74,2020-11-09
59,2020-11-10
27,2020-11-11
24,2020-11-12
29,2020-11-13
27,2020-11-14
31,2020-11-15
27,2020-11-16
24,2020-11-17
25,2020-11-18
24,2020-11-19
26,2020-11-20
32,2020-11-21
26,2020-11-22
25,2020-11-23
30,2020-11-24
30,2020-11-25
26,2020-11-26
28,2020-11-27
33,2020-11-28
35,2020-11-29
30,2020-11-30
29,2020-12-01
29,2020-12-02
36,2020-12-03
26,2020-12-04
24,2020-12-05
26,2020-12-06
27,2020-12-07
30,2020-12-08
26,2020-12-09
29,2020-12-10
29,2020-12-11
31,2020-12-12
31,2020-12-13
33,2020-12-14
27,2020-12-15
25,2020-12-16
